option,description,class_name,file_path,granularity,メモ,LLM description,Description (copied from header or source code)
-adce,Aggressive Dead Code Elimination,ADCEPass,Scalar/ADCE.cpp,function,,高速化/サイズ縮小: あり。副作用のない命令を「死んでいる」と仮定して開始し、必要性が証明されたものだけ残す方式で、通常のDCEで落ちにくい不要計算（特にループ絡み）も削除する。段階: 後（他の最適化で不要が露出した後の強力クリーンアップ）。,"This file provides the interface for the Aggressive Dead Code Elimination pass. This pass optimistically assumes that all instructions are dead until proven otherwise, allowing it to eliminate dead computations that other DCE passes do not catch, particularly involving loop computations."
-add-discriminators,Add DWARF path discriminators,AddDiscriminatorPass,Utils/AddDiscriminators.cpp,function,,対象外（デバッグ情報向け）。IRにDWARF discriminator（経路識別子）を付与し、同一行情報に紐づく複数CFGパスを区別しやすくして、デバッグ/プロファイルの対応精度を上げる。段階: デバッグ情報生成・プロファイル精度向上目的（性能最適化ではない）。,This pass adds DWARF discriminators to the IR. Path discriminators are used to decide what CFG path was taken inside sub-graphs whose instructions share the same line and column number information.
-aggressive-instcombine,Combine pattern based expressions,AggressiveInstCombinePass,AggressiveInstCombine/AggressiveInstCombine.cpp,function,,高速化/サイズ縮小: あり。式のパターンを検出して、より少ない/単純な命令列に作り替える強めInstCombine。後続の最適化（GVN/DCE/ベクトル化等）も効きやすくする。段階: 段階: 中（式の正規化・簡約として、初期整形後〜本格最適化の途中で効きやすい）。,"AggressiveInstCombiner - Combine expression patterns to form expressions with fewer, simple instructions."
-alignment-from-assumptions,Alignment from assumptions,AlignmentFromAssumptionsPass,Scalar/AlignmentFromAssumption.cpp,function,,高速化: あり。llvm.assume 等の仮定から、load/store/メモリintrinsicにアラインメント情報を付与し、ベクトル化や高速なメモリアクセスを可能にする（SCEVベース）。段階: 後（特にベクトル化/アンロール後に現れる複雑な整列仮定を回収する用途が強い）。,"This file implements a ScalarEvolution-based transformation to set the alignments of load, stores and memory intrinsics based on the truth expressions of assume intrinsics. The primary motivation is to handle complex alignment assumptions that apply to vector loads and stores that appear after vectorization and unrolling."
-always-inline,Inliner for always_inline functions,AlwaysInlinerPass,IPO/AlwaysInliner.cpp,module,,高速化: あり（サイズは増えることも）。always_inline 指定関数を強制的にインライン化し、呼び出しオーバーヘッド削減と、定数伝搬・DCEなどの最適化機会を増やす。段階: 前（後続最適化の土台として、早めにやる意味が大きい）。,"Provides passes to inlining ""always_inline"" functions."
-argpromotion,Promote ‘by reference’ arguments to scalars,ArgumentPromotionPass,IPO/ArgumentPromotion.cpp,cgscc,,高速化: あり。参照渡し（ポインタ等）引数をスカラー引数に昇格し、呼び出し側/呼び出し先をまとめて書き換えて、alias不確実性を減らす。段階: 中（IPO/CGSCC中盤。インラインやIPA系と組み合わせて効きやすい）。,Argument promotion pass. This pass walks the functions in each SCC and for each one tries to transform it and all of its callers to replace indirect arguments with direct (by-value) arguments.
-attributor,Deduce and propagate attributes,AttributorPass,IPO/Attributor.cpp,module,,高速化/サイズ縮小: 間接的にあり。手続き間の属性推論フレームワーク。readonly/nounwind/nonnull/nocapture 等を推論・伝播し、AAやDCE、インライン、変換の安全性判断を強化する。段階: 中（IPOでの前提情報作りとして中盤に置くのが典型）。,"Attributor: An inter procedural (abstract) ""attribute"" deduction framework. The Attributor framework is an inter procedural abstract analysis (fixpoint iteration analysis). The goal is to allow easy deduction of new attributes as well as information exchange between abstract attributes in-flight. The Attributor class is the driver and the link between the various abstract attributes. The Attributor will iterate until a fixpoint state is reached by all abstract attributes in-flight, or until it will enforce a pessimistic fix point because an iteration limit is reached.(以下略)"
-barrier,A No-Op Barrier Pass,,,unknown,,コード自体は変えない、パイプラインを一旦区切る? 見つからず,
-bdce,Bit-Tracking Dead Code Elimination,BDCEPass,Scalar/BDCE.cpp,function,,高速化/サイズ縮小: あり。ビット単位で「そのビットは最終的に不要」を追跡し、不要ビットしか計算しない命令（シフト/and/or等）やその連鎖を削除・簡約する。段階: 後（InstCombine/GVN等の後に残った冗長計算を落とすクリーンアップとして効きやすい）。,"This file implements the Bit-Tracking Dead Code Elimination pass. Some instructions (shifts, some ands, ors, etc.) kill some of their input bits. We track these dead bits and remove instructions that compute only these dead bits."
-break-crit-edges,Break critical edges in CFG,BreakCriticalEdgesPass,Utils/BreakCriticalEdges.cpp,function,,高速化/サイズ: 間接的（基盤整備）。CFGのcritical edgeを分割して中間ブロックを作り、後続のCFG変形や命令挿入をやりやすくする前処理。段階: 前（CFG変形・ループ変形が必要とする前提を整える）。,"BreakCriticalEdges pass - Break all of the critical edges in the CFG by inserting a dummy basic block.  This pass may be ""required"" by passes that cannot deal with critical edges.  For this usage, the structure type is forward declared.  This pass obviously invalidates the CFG, but can update dominator trees."
